Unnamed: 0,authors,title,journal,pmid,year,accession,Organisms,RecordYears,Hosts,Countries,IsolateYears,CDS,SeqLens,AlignLens,PcntIDs
48,"Kondiah K., Swanepoel R., Paweska J., Burt F.",A Simple-Probe real-time PCR assay for genotyping reassorted and non-reassorted isolates of Crimean-Congo hemorrhagic fever virus in southern Africa,"J. Virol. Methods 169 (1), 34-38 (2010)",20599559.0,2010,"FJ435409.1, FJ435408.1, FJ435407.1, FJ435406.1, FJ435405.1, FJ435404.1, FJ435403.1, FJ435402.1, FJ435401.1, FJ435400.1, FJ435399.1, FJ435398.1, FJ435397.1, FJ435396.1, FJ435395.1, FJ435394.1, FJ435393.1, FJ435392.1, FJ435391.1, FJ435390.1, FJ435389.1, FJ435388.1, FJ435387.1",Orthonairovirus haemorrhagiae (23),24-J (23),Homo sapiens (23),"South Africa (19), Pakistan (2), Namibia (2)","1988 (7), 1989 (4), 1986 (3), 2002 (2), 1985 (2), 1990 (2), 1987 (2), 2001 (1)",glycoprotein (23),"412 (11), 410 (5), 408 (3), 409 (3), 411 (1)",91 (23),"75%-90% (5), 90%-95% (18)"
49,"Kuhn J., Seregin S., Morzunov S., Petrova I., Vyshemirskii O., Lvov D., Tyunnikov G., Gutorov V., Netesov S., Petrov V.",Genetic analysis of the M RNA segment of Crimean-Congo hemorrhagic fever virus strains involved in the recent outbreaks in Russia,"Arch. Virol. 149 (11), 2199-2213 (2004)",15503207.0,2004,"AF481806.1, AF492424.1, AF492423.1, AF492422.1, AF492421.1, AF489587.1, AF489586.1, AF483274.1, AF483273.1, AF483272.1, AF483271.1",Orthonairovirus haemorrhagiae (11),"25-J (10), 26-J (1)","nan (9), tick (2)","Russia (5), Russia: Volgograd region (2), Russia: Stavropol region (2), Russia: Astrahan region (2)",nan (11),"envelope glycoprotein precusor (7), envelope glycoprotein precursor (4)","432 (4), 308 (3), 435 (2), 496 (1), 436 (1)","144 (4), 100 (3), 145 (3), 158 (1)","75%-90% (5), 90%-95% (1), 95%-100% (5)"
50,"Lee J., Lee W., Ryou J., Choi W., Yang J., Lim H., Kim S., Yoo C., You C., Hur M.",PRIMERS AND PROBES FOR SIMULTANEOUS DETECTION OF SUBTYPES OF CRIMEAN-CONGO HEMORRHAGIC FEVER VIRUS AND DETECTING METHOD FOR CRIMEAN-CONGO HEMORRHAGIC FEVER VIRUS USING THE SAME,Patent,,2020,"LY822574.1, LY822573.1, LY822572.1",synthetic construct (3),18-N (3),nan (3),nan (3),nan (3),nan (3),"28 (1), 21 (1), 22 (1)",0 (3),
51,Li Y.,Direct Submission," Key Laboratory of Jilin Province for Zoonosis Prevention and Control, Military Veterinary Institute, Rd. Liuying West 666, Changchun, Jilin 130122, China",,2019,MN832722.1,Orthonairovirus haemorrhagiae (1),01-A (1),Hyalomma asiaticum (1),China: Inner Mongolia (1),2015 (1),glycoprotein precursor (1),5368 (1),1690 (1),75%-90% (1)
52,"Li Y., Yan C.",Direct Submission," Key Laboratory of Jilin Province for Zoonosis Prevention and Control, Military Veterinary Institute, Rd. Liuying West 666, Changchun, Jilin 130122, China",,2019,"MN832724.1, MN832723.1, MN832721.1",Orthonairovirus haemorrhagiae (3),01-A (3),Hyalomma asiaticum (3),China: Inner Mongolia (3),"2015 (2), 2016 (1)","nucleocapsid protein (2), RNA-dependent RNA polymerase (1)","1469 (1), 12155 (1), 1672 (1)","482 (2), 3945 (1)",95%-100% (3)
53,"Ma B., Hang C., Tang Q.",Direct Submission," Lab of Hemorrhagic Fever and Arboviruses, Institute of Virology, Chinese Academy of Preventive Medicine, 100 Ying Xin Street, Xuan Wu District, Beijing 100052, China",,2001,AF338470.1,Crimean-Congo hemorrhagic fever virus strain BA88166 (1),13-M (1),nan (1),China: Xinjiang (1),nan (1),envelope glycoprotein precursor (1),5364 (1),1689 (1),75%-90% (1)
54,"Marriott A., Nuttall P.","Comparison of the S RNA segments and nucleoprotein sequences of Crimean-Congo hemorrhagic fever, Hazara, and Dugbe viruses","Virology 189 (2), 795-799 (1992)",1641991.0,1992,"M86625.1, M86624.1","Orthonairovirus haemorrhagiae (1), Hazara virus (1)",02-A (2),nan (2),nan (2),nan (2),nucleoprotein (2),"1672 (1), 1677 (1)","482 (1), 485 (1)","50%-75% (1), 95%-100% (1)"
55,"Meissner J., Seregin S., Seregin S., Vyshemirski O., Samokhvalov E., Lvov D., Netesov S., Petrov V.",Direct Submission," Laboratory of Virology, SRC VB 'Vector', Koltsovo, Novosibirsk Region, 630559, Russia, Novosibirsk 630559, Russia",,2005,DQ206449.1,Orthonairovirus haemorrhagiae (1),26-J (1),nan (1),Russia: Astrakhan Region (1),1991 (1),RNA-dependent RNA polymerase (1),1057 (1),352 (1),95%-100% (1)
56,"Midilli K., Gargili A., Vatansever Z., Ergin S., Aktas M., Yilmaz G., Altas K.",Direct Submission," Microbiology and Clinical Microbiology, Cerrahpasa Medical Faculty of Istanbul University, Temel Bilimler Binasi, Fatih - Istanbul 34303, Turkey",,2006,DQ983785.1,Crimean-Congo hemorrhagic fever virus (ZAM57/06) (1),15-M (1),Hyalomma marginatum marginatum (tick) (1),Turkey: Elicek Village/Corum (1),Jul- (1),nucleoprotein (1),600 (1),200 (1),95%-100% (1)
57,"Midilli K., Gargili A., Yilmaz G., Sengoz G., Ozturk R., Altas K.",Direct Submission," Microbiology and Clinical Microbiology, Cerrahpasa Medical Faculty of Istanbul University, Temel Bilimler Binasi, Fatih - Istanbul 34303, Turkey",,2006,"DQ983741.2, DQ983741.2, DQ983745.1, DQ983744.1, DQ983743.1, DQ983742.1","Crimean-Congo hemorrhagic fever virus CTF-Hu7/06 (1), Crimean-Congo hemorrhagic fever virus CTF-Hu30/06 (1), Crimean-Congo hemorrhagic fever virus CTF-Hu27/06 (1), Crimean-Congo hemorrhagic fever virus CTF-Hu15/06 (1), Crimean-Congo hemorrhagic fever virus CTF-Hu10/06 (1)",14-J (5),Homo sapiens (5),Turkey (5),nan (5),nucleoprotein (5),599 (5),200 (5),95%-100% (5)
58,"Millar D., Meruki J.",Modified Microbial Nucleic Acid,Patent,,2009,"FV537253.1, FV537252.1, FV537251.1, FV537250.1, FV537249.1, FV537248.1, FV537247.1, FV537246.1, FV537245.1, FV537244.1, FV537243.1, FV537242.1",Orthonairovirus haemorrhagiae (12),18-M (12),nan (12),nan (12),nan (12),nan (12),"5366 (4), 12108 (4), 1672 (4)",0 (12),
59,"Mitchell R., Chamberlain J., Hewson R.",Direct Submission," Novel and Dangerous Pathogens, Centre for Emergency Preparedness and Response, Porton Down, Salisbury, Wiltshire SP4 0JG, UK",,2005,DQ019222.1,Orthonairovirus haemorrhagiae (1),01-M (1),nan (1),Democratic Republic of the Congo (1),Apr- (1),envelope glycoprotein precursor (1),5388 (1),1691 (1),50%-75% (1)
60,"Moming A., Yue X., Shen S., Chang C., Wang C., Hu Z., Zhang Y., Deng F., Sun S.",Direct Submission," Xinjiang Key Laboratory of Biological Resources and Genetic Engineering, Xinjiang University, No. 666, Tianshan District, Shengli Road, Urumqi, Xinjiang 830046, China",,2017,"MG696069.1, MG696068.1",Orthonairovirus haemorrhagiae (2),21-M (2),"Hyalomma asiaticum asiaticum (1), tick (1)",China (2),"2015 (1), 2016 (1)",nucleocapsid protein (2),220 (2),73 (2),"75%-90% (1), 90%-95% (1)"
61,"Morikawa S., Kurane I., Niikura M., Saijo M.",A monoclonal antibody recognizing Crimean-Congo hemorrhagic fever,Patent,,2003,BD294628.1,Orthonairovirus haemorrhagiae (1),04-N (1),nan (1),nan (1),nan (1),nan (1),1485 (1),0 (1),
62,NCBI,Direct Submission," National Center for Biotechnology Information, NIH, Bethesda, MD 20894, USA",,2003,"NC_005301.3, NC_005300.2",Orthonairovirus haemorrhagiae (2),13-A (2),"nan (1), Hyalomma excavatum (1)","nan (1), Nigeria: Sokoto (1)",nan (2),"putative polyprotein (1), glycoprotein precursor (1)","12108 (1), 5366 (1)","3945 (1), 1685 (1)","75%-90% (1), 95%-100% (1)"
63,NCBI,Direct Submission," National Center for Biotechnology Information, NIH, Bethesda, MD 20894, USA",,2004,NC_005302.1,Orthonairovirus haemorrhagiae (1),13-A (1),nan (1),nan (1),nan (1),nucleoprotein (1),1672 (1),482 (1),95%-100% (1)
64,NCBI,Direct Submission," National Center for Biotechnology Information, NIH, Bethesda, MD 20894, USA",,2010,NC_014661.1,Acinetobacter phage Acj61 (1),08-J (1),Acinetobacter johnsonii (1),nan (1),nan (1),RIIB lysis inhibitor (1),164093 (1),32 (1),25%-50% (1)
65,NCBI,Direct Submission," National Center for Biotechnology Information, NIH, Bethesda, MD 20894, USA",,2016,"NC_029124.1, NC_029123.1, NC_029122.1",Tofla virus (3),13-A (3),Haemaphysalis flava (Tick) (3),Japan (3),2013 (3),"RNA-dependent RNA polymerase (1), glycoprotein precursor (1), nucleocapsid protein (1)","12143 (1), 4625 (1), 1699 (1)","3529 (1), 727 (1), 485 (1)","25%-50% (1), 50%-75% (2)"
66,NCBI,Direct Submission," National Center for Biotechnology Information, NIH, Bethesda, MD 20894, USA",,2023,"NC_078227.1, NC_078226.1, NC_078225.1, NC_078322.1, NC_078321.1, NC_078320.1, NC_078325.1, NC_078324.1, NC_078323.1","Aigai virus (3), Orthonairovirus tomdiense (3), Meram virus (3)","06-M (3), 08-M (3), 07-M (3)","Hyalomma aegyptium (6), Rhipicephalus bursa (3)","Turkey (6), Greece (3)","1975 (3), Jun- (3), 22-M (3)","glycoprotein precursor (3), RNA-dependent RNA polymerase (3), nucleocapsid protein (2), nucleoprotein (1)","1000-3000 (3), 3000-5000 (2), 5000-10000 (1), >10000 (3)","100-500 (3), 500-1000 (2), 1000-3000 (1), 3000-5000 (3)","25%-50% (3), 50%-75% (4), 90%-95% (2)"
67,"Negredo A., Sanchez-seco M.",Direct Submission," Arbovirus and Imported Viral diseases, National Center of Microbiology, Institute of Health Carlos III, Ctra. Majadahonda-Pozuelo, km2, Majadahonda, Madrid 28220, Spain",,2022,ON227355.1,Orthonairovirus haemorrhagiae (1),07-F (1),Homo sapiens (1),Spain (1),2018 (1),nucleoprotein (1),489 (1),163 (1),95%-100% (1)
68,"Ozdarendeli A., Aydin K., Tonbak S., Aktas M., Altay K., Koksal I., Bolat Y., Dumanli N., Kalkan A.",Genetic analysis of the M RNA segment of Crimean-Congo hemorrhagic fever virus strains in Turkey,"Arch. Virol. 153 (1), 37-44 (2008)",17955162.0,2008,"EF189753.1, EF189752.1, EF189751.1, EF189750.1, EF189749.1, EF189748.1, EF189747.1, EF189746.1, EF189745.1, EF189744.1, EF189743.1, EF189742.1, EF189741.1, EF189740.1",Orthonairovirus haemorrhagiae (14),14-J (14),"Homo sapiens (7), Hyalomma marginatum marginatum (4), Rhipicephalus bursa (2), Boophilus annulatus (1)",Turkey (14),2005 (14),envelope glycoprotein precursor (14),417 (14),138 (14),95%-100% (14)
69,Papa A.,Direct Submission," Dept. of Microbiology, School of Medicine, Aristotle University of Thessaloniki, Thessaloniki 54124, Greece",,2004,"AY550258.1, AY550257.1, AY550256.1, AY550255.1, AY550254.1, AY550253.1, AY675511.1",Orthonairovirus haemorrhagiae (7),"26-J (6), 03-M (1)",nan (7),"Bulgaria (5), Greece (1), Yugoslavia (1)",nan (7),"nucleoprotein (6), envelope glycoprotein precursor (1)","256 (6), 5341 (1)","85 (6), 1688 (1)",95%-100% (7)
70,"Papa A., Bozovic B., Papadimitriou E., Pelemis M., Antoniadis A.",Direct Submission," Microbiology, Aristotelian University of Thesssaloniki, School of Medicine, Thessaloniki 54006, Greece",,2009,AF428144.3,Orthonairovirus haemorrhagiae (1),19-O (1),nan (1),nan (1),nan (1),nucleoprotein (1),1673 (1),482 (1),95%-100% (1)
71,"Papa A., Christova I.",Direct Submission," Dept. of Microbiology, Aristotle University of Thessaloniki, Medical School, Thessaloniki 54124, Greece",,2015,"KR092381.1, KR092379.1, KR092374.1, KR092373.1, KT334330.1, KT334329.1",Orthonairovirus haemorrhagiae (6),"09-N (4), 20-O (2)","Homo sapiens (4), Hyalomma marginatum (2)",Bulgaria (6),"2014 (4), 2013 (2)","nucleocapsid protein (4), polymerase (1), glycoprotein precursor (1)","499 (3), 444 (1), 5364 (1), 220 (1)","166 (3), 148 (1), 1688 (1), 73 (1)",95%-100% (6)
72,"Papa A., Christova I., Papadimitriou E., Antoniadis A.",Crimean-Congo hemorrhagic fever in Bulgaria,"Emerging Infect. Dis. 10 (8), 1465-1467 (2004)",15496250.0,2004,"AY550258.1, AY550257.1, AY550256.1, AY550255.1, AY550254.1, AY550253.1",Orthonairovirus haemorrhagiae (6),26-J (6),nan (6),"Bulgaria (5), Greece (1)",nan (6),nucleoprotein (6),256 (6),85 (6),95%-100% (6)
73,"Papa A., Christova I., Pappa S.",Direct Submission," A' Dept. of Microbiology, Aristotle University of Thessaloniki, Medical School, Thessaloniki 54124, Greece",,2015,"KR011839.1, KR011838.1, KR011837.1",Orthonairovirus haemorrhagiae (3),04-N (3),Homo sapiens (3),Bulgaria (3),"2013 (2), 07-J (1)",nucleocapsid protein (3),"1376 (1), 1369 (1), 1673 (1)","458 (1), 455 (1), 482 (1)",95%-100% (3)
74,"Papa A., Papadimitriou E., Bozovic B., Antoniadis A.",Genetic characterization of the M RNA segment of a Balkan Crimean-Congo hemorrhagic fever virus strain,"J. Med. Virol. 75 (3), 466-469 (2005)",15648072.0,2005,AY675511.1,Orthonairovirus haemorrhagiae (1),03-M (1),nan (1),Yugoslavia (1),nan (1),envelope glycoprotein precursor (1),5341 (1),1688 (1),95%-100% (1)
75,"Papa A., Papadimitriou E., Kalvatchev N., Christova I.",Direct Submission," Dept. of Microbiology, Medical School, Aristotle University of Thessaloniki, Thessaloniki, Greece",,2008,FJ160262.1,Orthonairovirus haemorrhagiae (1),26-J (1),Homo sapiens (1),Bulgaria (1),08-A (1),nucleoprotein (1),261 (1),87 (1),95%-100% (1)
76,"Petrova I., Seregin S., Petrov V., Vyshemirski O., Kuzina I., L'vov D., Samokhvalov E., Tyunikov G., Gutorov V., Yashina L., Netesov S.",[Genetic characteristics of the S-segment of RNA from two strains of the Crimean-Congo hemorrhagic fever virus isolated in the south of Russia and in Uzbekistan],"Vopr. Virusol. 48 (2), 8-11 (2003)",12924091.0,2003,"AF481801.1, AF481800.1, AF481802.1, AF481799.1",Orthonairovirus haemorrhagiae (4),"26-J (2), 22-J (2)","tick (3), Homo sapiens (1)","Russia: Astrahan region (2), Russia: Stavropol (1), Russia: Uzbekistan (1)",nan (4),nucleocapsid protein (4),"467 (2), 1674 (1), 1672 (1)","156 (2), 482 (2)",95%-100% (4)
77,"Petrova I., Seregin S., Vyshemirski O., Lvov D., Tyunnikov G., Goutorov V., Yashina L., Netesov S., Petrov V.",Direct Submission," Biochemistry of Viruses, State Research Center of Virology and Biotechnology 'Vector', Koltsovo, Novosibirsk 630559, Russia",,2002,AF481804.1,Orthonairovirus haemorrhagiae (1),26-J (1),tick (1),Russia: Astrahan region (1),nan (1),nucleocapsid protein (1),220 (1),73 (1),95%-100% (1)
78,"Rangunwala A., Burt F., Swanepoel R., Janusz P.",Direct Submission," Medical Microbiology and Virology, University of the Free State, DF Malherbe Drive, Bloemfontein, Free State 9310, South Africa",,2013,KC880335.1,Orthonairovirus haemorrhagiae (1),29-J (1),Homo sapiens (1),South Africa (1),nan (1),nucleoprotein (1),1449 (1),482 (1),95%-100% (1)
79,"Rasslan F., Bendary H., Zaki A., Abdulall A.",Direct Submission," Microbiology and Immunology, Faculty of Pharmacy (Girls), Al-Azhar University, Dr Abd El-Shennawy, Nasr City, Cairo 11765, Egypt",,2021,"MZ326698.1, MZ322095.1",Orthonairovirus haemorrhagiae (2),01-A (2),camel (2),Egypt (2),2021 (2),nucleocapsid protein (2),248 (2),82 (2),90%-95% (2)
80,"Rodriguez O., De la fuente G., Fernandez de mera I., Gortazar C., De la fuente J.",Direct Submission," Sanidad Animal, Instituto de Investigacion en Recursos Cinegeticos, Ronda de Toledo s/n, Ciudad Real, Ciudad Real 13071, Spain",,2022,ON557389.1,Orthonairovirus haemorrhagiae (1),21-S (1),Hyalomma marginatum (1),Morocco (1),2014 (1),nucleocapsid protein (1),394 (1),131 (1),75%-90% (1)
81,"Rodriguez S., Cross R., Mire C., Geisbert T.",Vesicular stomatitis vectors encoding Crimean-Congo hemorrhagic fever antigen,Patent,,2022,"MY914781.1, MY914780.1, MY914779.1, MY914778.1, MY914777.1, MY914776.1, MY914775.1",Unknown. Unclassified. (7),07-A (7),nan (7),nan (7),nan (7),nan (7),"9853 (2), 5055 (2), 14925 (2), 5013 (1)",0 (7),
82,Sado yousseu F.,Direct Submission," Microbiology and Parasitology, Centre of Research in Infectious Diseases, Street 1.606 Yaounde 5, Yaounde, Centre POBOX 13591, Yaounde, Cameroon",,2022,ON564456.1,Orthonairovirus haemorrhagiae (1),17-J (1),Hyalomma truncatum (1),Cameroon (1),23-J (1),RNA-dependent RNA-polymerase (1),445 (1),147 (1),95%-100% (1)
83,"Saijo M., Morikawa S., Tang Q.",Direct Submission," Contact:Masayuki Saijo National Institute of Infectious Diseases, Department of Virology 1; 4-7-1 Gakuen, Musashimurayama, Tokyo 208-0011, Japan",,2003,"AB102853.1, AB102852.1",Orthonairovirus haemorrhagiae (2),17-J (2),nan (2),"China: Xinjiang, Bachu (2)",nan (2),nucleoprotein (2),220 (2),72 (2),90%-95% (2)
84,"Saijo M., Tang Q., Shimayi B., Han L., Zhang Y., Asiguma M., Tianshu D., Maeda A., Kurane I., Morikawa S.",Possible horizontal transmission of crimean-congo hemorrhagic Fever virus from a mother to her child,"Jpn J Infect Dis 57 (2), 55-57 (2004)",15118210.0,2004,"AB209951.1, AB209950.1, AB209949.1, AB209948.1, AB209947.1, AB209946.1, AB209945.1, AB209944.1, AB209943.1, AB209942.1, AB209941.1, AB209940.1, AB209939.1, AB209938.1, AB209937.1, AB102853.1, AB102852.1",Orthonairovirus haemorrhagiae (17),17-J (17),nan (17),"China: Xinjiang Uygur Autonomous Region (15), China: Xinjiang, Bachu (2)",nan (17),nucleoprotein (17),220 (17),"73 (15), 72 (2)",90%-95% (17)
85,"Sanchez A., Vincent M., Deyde V., Khristova M., Nichol S.",Direct Submission," Special Pathogens Branch, DVRD, NCID, Centers for Disease Control and Prevention, 1600 Clifton Road, Atlanta, GA 30333, USA",,2005,"NC_005300.2, AF467768.2",Orthonairovirus haemorrhagiae (2),"13-A (1), 22-S (1)",Hyalomma excavatum (2),Nigeria: Sokoto (2),nan (2),glycoprotein precursor (2),5366 (2),1685 (2),75%-90% (2)
86,"Sanchez A., Vincent M., Nichol S.",Direct Submission," Special Pathogens Branch, DVRD, NCID, Centers for Disease Control and Prevention, 1600 Clifton Road, Atlanta, GA 30333, USA",,2005,AF467769.2,Orthonairovirus haemorrhagiae (1),19-S (1),Homo sapiens (1),Pakistan: Matin (1),nan (1),glycoprotein precursor (1),5367 (1),1689 (1),75%-90% (1)
87,"Schwarz T., Nsanze H., Longson M., Nitschko H., Gilch S., Shurie H., Ameen A., Zahir A., Acharya U., Jager G.",Polymerase chain reaction for diagnosis and identification of distinct variants of Crimean-Congo hemorrhagic fever virus in the United Arab Emirates,"Am. J. Trop. Med. Hyg. 55 (2), 190-196 (1996)",8780459.0,1996,"S82581.1, S82580.1",Orthonairovirus haemorrhagiae (2),03-D (2),nan (2),nan (2),nan (2),nan (2),220 (2),73 (2),90%-95% (2)
88,"Seregin S., Tumanova I., Vyshemirski O., Petrova I., Lvov D., Gromashevski V., Samokhvalov E., Tiunnikov G., Gutorov V., Tishkova F., Daniyarov O., Netesov S., Petrov V.",Study of the genetic variability of Crimean-Congo hemorrhagic fever virus in Central Asia,"Dokl. Biochem. Biophys. 398, 313-315 (2004)",15584517.0,2004,"AY297690.1, AY297689.1, AY297688.1, AY277677.1, AY297691.2, AY297692.2",Orthonairovirus haemorrhagiae (6),"25-J (4), 04-A (2)","nan (5), Hyalomma marginatum (1)","Tajikistan (5), Turkmenistan (1)",nan (6),nucleocapsid protein (6),"497 (3), 1673 (2), 466 (1)","165 (3), 482 (2), 155 (1)",95%-100% (6)
89,"Shimada S., Aoki K., Nabeshima T., Fuxun Y., Kurosaki Y., Shiogama K., Onouchi T., Sakaguchi M., Fuchigami T., Ono H., Nishi K., Posadas-herrera G., Uchida L., Takamatsu Y., Yasuda J., Tsutsumi Y., Fujita H., Morita K., Hayasaka D.",Tofla virus: A newly identified Nairovirus of the Crimean-Congo hemorrhagic fever group isolated from ticks in Japan,"Sci Rep 6, 20213 (2016)",26863911.0,2016,"NC_029124.1, NC_029123.1, NC_029122.1, LC030115.1, LC030114.1, LC030113.1, LC008512.1, LC008511.1, LC008510.1",Tofla virus (9),"02-A (6), 13-A (3)","Haemaphysalis flava (Tick) (6), Haemaphysalis formsensis (3)",Japan (9),"2013 (6), 2014 (3)","RNA-dependent RNA polymerase (3), glycoprotein precursor (2), nucleocapsid protein (2), glycoprotein (1), nucleoprotein (1)","12143 (3), 4625 (3), 1699 (3)","485 (3), 3529 (2), 727 (2), 3966 (1), 729 (1)","25%-50% (3), 50%-75% (6)"
90,"Sun S., Zhang Y., Dai X., Ma J., Zhang F., Meng W., Wang X., Feng C., Hang C., Zhu H., Azati A., Xie Y.",Direct Submission," College of Life Science and Technology, Xinjiang University, 14 Shengli Road, Urumqi, Xinjiang 830046, China",,2005,DQ217602.1,Orthonairovirus haemorrhagiae (1),02-O (1),nan (1),China (1),nan (1),nucleocapsid protein (1),1673 (1),482 (1),95%-100% (1)
91,"Tang Q., Gao D., Han L., Zhao X., Tao X.",Direct Submission," Institute of Epidemiology and Microbiology, Chinese Academy of Preventive Medicine (CAPM), P. O. Box 5 Changping, Beijing 102206, China",,2001,AY029157.1,Crimean-Congo Hemorrhagic Fever virus strain China (1),31-A (1),nan (1),nan (1),nan (1),nucleoprotein (1),1672 (1),482 (1),95%-100% (1)
92,"Tekin S., Bursali A., Mutluay N., Keskin A., Dundar E.",Crimean-Congo hemorrhagic fever virus in various ixodid tick species from a highly endemic area,"Vet. Parasitol. 186 (3-4), 546-552 (2012)",22119389.0,2012,"GU324993.1, GU324992.1, GU324991.1, GU324990.1",Orthonairovirus haemorrhagiae (4),14-M (4),tick (4),Turkey (4),Jul- (4),nucleoprotein (4),430 (4),143 (4),95%-100% (4)
93,"Tonbak S., Aktas M., Kalkan A., Altay K., Azkur K., Dumanli N., Bolat Y., Ozdarendeli A.",Direct Submission," Virology, Firat University, Elazig 23119, Turkey",,2006,DQ397823.1,Orthonairovirus haemorrhagiae (1),26-J (1),nan (1),Turkey (1),nan (1),S protein (1),216 (1),72 (1),95%-100% (1)
94,"Tumanova I., Seregin S., Vyshemirski O., Petrova I., Tyunnikov G., Gutorov V., Seregin S., Netesov S., Petrov V.",Direct Submission," Biochemistry of Viruses, State Research Center of Virology and Biotechnology 'Vector', Koltsovo, Novosibirsk 630559, Russia",,2007,"AY297691.2, AY297692.2, AY049083.2",Orthonairovirus haemorrhagiae (3),04-A (3),"nan (2), Homo sapiens (1)",Tajikistan (3),nan (3),nucleocapsid protein (3),1673 (3),482 (3),95%-100% (3)
95,Umair M.,Direct Submission," Department of Virology, National Institute of Health, Park Road, Chak Shahzad, Islamabad 44000, Pakistan",,2020,"MN970092.1, MN970091.1, MN970090.1, MN970089.1, MN970088.1, MN970087.1, MN970086.1, MN970085.1, MN970084.1, MN970083.1, MN970082.1, MN970081.1, MN970080.1, MN970079.1, MN970078.1, MN970077.1, MN970076.1, MN970075.1, MN970074.1, MN970073.1, MN970072.1, MN970071.1, MN970070.1, MN970069.1, MN970068.1, MN970067.1, MN970066.1, MN970065.1, MN970064.1, MN970063.1, MN970062.1, MN970061.1, MN970060.1, MN970059.1, MN970058.1, MN970057.1, MN970056.1, MN970055.1, MN970054.1, MN970053.1",Orthonairovirus haemorrhagiae (40),26-A (40),Homo sapiens (40),"Pakistan (32), Afghanistan (8)",2011 (40),nucleocapsid protein (40),260 (40),87 (40),"90%-95% (39), 95%-100% (1)"
